movie,production_budget,profit,profit_margin,release_date,runtime_minutes,genres,director
Monsters University,219488575.14476922,891207742.8637302,4.06038329,2013-06-21,104.0,Comedy,Dan Scanlon
Oz the Great and Powerful,219488575.14476922,576300228.9086784,2.6256502349999997,2013-03-08,130.0,Adventure,Sam Raimi
Oz the Great and Powerful,219488575.14476922,576300228.9086784,2.6256502349999997,2013-03-08,130.0,Family,Sam Raimi
Oz the Great and Powerful,219488575.14476922,576300228.9086784,2.6256502349999997,2013-03-08,130.0,Fantasy,Sam Raimi
X-Men: Days of Future Past,215984894.56609896,844268007.7639776,3.908921545,2014-05-23,132.0,Action,Bryan Singer
X-Men: Days of Future Past,215984894.56609896,844268007.7639776,3.908921545,2014-05-23,132.0,Adventure,Bryan Singer
X-Men: Days of Future Past,215984894.56609896,844268007.7639776,3.908921545,2014-05-23,132.0,Sci-Fi,Bryan Singer
The Amazing Spider-Man 2,215984894.56609896,768744526.4840709,3.559251345,2014-05-02,142.0,Action,Marc Webb
The Amazing Spider-Man 2,215984894.56609896,768744526.4840709,3.559251345,2014-05-02,142.0,Adventure,Marc Webb
The Amazing Spider-Man 2,215984894.56609896,768744526.4840709,3.559251345,2014-05-02,142.0,Sci-Fi,Marc Webb
Cars 2,227312293.55514163,626934418.2267461,2.758031290000001,2011-06-24,106.0,Adventure,Bradford Lewis
Cars 2,227312293.55514163,626934418.2267461,2.758031290000001,2011-06-24,106.0,Adventure,John Lasseter
Cars 2,227312293.55514163,626934418.2267461,2.758031290000001,2011-06-24,106.0,Animation,Bradford Lewis
Cars 2,227312293.55514163,626934418.2267461,2.758031290000001,2011-06-24,106.0,Animation,John Lasseter
Cars 2,227312293.55514163,626934418.2267461,2.758031290000001,2011-06-24,106.0,Comedy,Bradford Lewis
Cars 2,227312293.55514163,626934418.2267461,2.758031290000001,2011-06-24,106.0,Comedy,John Lasseter
Tron: Legacy,234487471.10833913,436293867.63300246,1.8606276299999998,2010-12-17,,,
2012,238333713.9980516,862517692.9814203,3.6189495749999994,2009-11-13,,,
Fantastic Beasts: The Crimes of Grindelwald,203623953.13551593,622861224.5316101,3.0588799350000007,2018-11-16,134.0,Adventure,David Yates
Fantastic Beasts: The Crimes of Grindelwald,203623953.13551593,622861224.5316101,3.0588799350000007,2018-11-16,134.0,Family,David Yates
Fantastic Beasts: The Crimes of Grindelwald,203623953.13551593,622861224.5316101,3.0588799350000007,2018-11-16,134.0,Fantasy,David Yates
Terminator Salvation,238333713.9980516,346554214.5386437,1.4540713050000003,2009-05-21,,,
Green Lantern,227312293.55514163,154727686.6539284,0.68068332,2011-06-17,114.0,Action,Martin Campbell
Green Lantern,227312293.55514163,154727686.6539284,0.68068332,2011-06-17,114.0,Adventure,Martin Campbell
Green Lantern,227312293.55514163,154727686.6539284,0.68068332,2011-06-17,114.0,Sci-Fi,Martin Campbell
Prince of Persia: Sands of Time,234487471.10833913,266283212.45122355,1.13559676,2010-05-28,,,
Transformers: Dark of the Moon,221629486.2162631,1456141055.5906358,6.570159415384616,2011-06-29,154.0,Action,Michael Bay
Transformers: Dark of the Moon,221629486.2162631,1456141055.5906358,6.570159415384616,2011-06-29,154.0,Adventure,Michael Bay
Transformers: Dark of the Moon,221629486.2162631,1456141055.5906358,6.570159415384616,2011-06-29,154.0,Sci-Fi,Michael Bay
The Mummy,203382486.1292428,307738592.5453248,1.5131027179487184,2017-06-09,110.0,Action,Alex Kurtzman
The Mummy,203382486.1292428,307738592.5453248,1.5131027179487184,2017-06-09,110.0,Adventure,Alex Kurtzman
The Mummy,203382486.1292428,307738592.5453248,1.5131027179487184,2017-06-09,110.0,Fantasy,Alex Kurtzman
Jack the Giant Slayer,214001360.76614997,74489161.26298848,0.3480779794871796,2013-03-01,114.0,Adventure,Bryan Singer
Jack the Giant Slayer,214001360.76614997,74489161.26298848,0.3480779794871796,2013-03-01,114.0,Fantasy,Bryan Singer
Furious 7,204942388.09874398,1813988022.200087,8.851209547368422,2015-04-03,137.0,Action,James Wan
Furious 7,204942388.09874398,1813988022.200087,8.851209547368422,2015-04-03,137.0,Crime,James Wan
Furious 7,204942388.09874398,1813988022.200087,8.851209547368422,2015-04-03,137.0,Thriller,James Wan
Star Trek Into Darkness,208514146.38753074,555481954.8498864,2.664001289473684,2013-05-16,132.0,Action,J.J. Abrams
